name,author,familia,lifeform,habitus,plantUse,height,exposure,moisture,soil,hardiness,leafShape,leafDivision,leafArrangement,leafRetention,autumnColour,floweringPeriod,flowerColour,flowerShape,inflorescence,fruit,ordo,superordo,subclassis,classis,subdivisio,divisio,familia
Abelia_biflora,Turcz.,Caprifoliaceae,3,_NA,_NA,N\/A - N\/A cm,1,3,2,8,_NA,1,1,1,_NA,""",""flowerColour"":""",""",""flowerShape"":""_NA",_NA,_NA,10,dipsacales,dipsacanae,cornidae,rosopsida,magnoliophytina,magnoliophyta,Caprifoliaceae
Abelia_chinensis,R.Br.,Caprifoliaceae,3,_NA,_NA,1 - 1.5 m,1,3,2,8,3,1,1,1,_NA,,#ffffff,9,5,10,dipsacales,dipsacanae,cornidae,rosopsida,magnoliophytina,magnoliophyta,Caprifoliaceae
Abelia_dielsii,(Graebn.) Rehder,Caprifoliaceae,3,_NA,_NA,N\/A - N\/A cm,1,3,2,8,_NA,1,_NA,1,_NA,,""",""flowerShape"":""_NA",_NA,_NA,10,dipsacales,dipsacanae,cornidae,rosopsida,magnoliophytina,magnoliophyta,Caprifoliaceae
Abelia_engleriana,(Graebn.) Rehder,Caprifoliaceae,3,_NA,_NA,N\/A - N\/A cm,1,3,2,8,_NA,1,1,1,_NA,,""",""flowerShape"":""_NA",_NA,_NA,10,dipsacales,dipsacanae,cornidae,rosopsida,magnoliophytina,magnoliophyta,Caprifoliaceae
Abelia_mosanensis,I.C.Chung ex Nakai,Caprifoliaceae,3,_NA,_NA,1.2 - 1.8 m,1,3,2,8,_NA,1,1,1,"#ff5c05, #ea3c23",,#f0c9d6,_NA,_NA,10,dipsacales,dipsacanae,cornidae,rosopsida,magnoliophytina,magnoliophyta,Caprifoliaceae
Abelia_parvifolia,Hemsl.,Eucryphiaceae,3,_NA,_NA,1.5 - 2 m,1,3,2,8,3,1,1,2,"#b30313, #b30313",,#e7bdee,9,5,10,cunoniales,saxifraganae,rosidae,rosopsida,magnoliophytina,magnoliophyta,Eucryphiaceae
Abelia_spathulata,Siebold & Zucc.,Caprifoliaceae,3,_NA,_NA,N\/A - N\/A cm,1,3,2,8,_NA,1,_NA,1,_NA,,#ffffff,3,_NA,10,dipsacales,dipsacanae,cornidae,rosopsida,magnoliophytina,magnoliophyta,Caprifoliaceae
Abelia_triflora,R.Br.,Caprifoliaceae,3,_NA,_NA,4.5 - 5 m,1,3,2,8,3,1,1,1,_NA,,#ffffff,_NA,2,10,dipsacales,dipsacanae,cornidae,rosopsida,magnoliophytina,magnoliophyta,Caprifoliaceae
Abelia_uniflora,R.Br. ex Wall.,Caprifoliaceae,3,_NA,_NA,N\/A - N\/A cm,1,3,2,8,_NA,1,_NA,3,_NA,,""",""flowerShape"":""_NA",_NA,_NA,10,dipsacales,dipsacanae,cornidae,rosopsida,magnoliophytina,magnoliophyta,Caprifoliaceae
Abeliophyllum_distichum,Nakai,Oleaceae,3,_NA,2,1.5 - 2 m,1,2,23,7,11,1,1,1,_NA,,#fdd0d4,2,8,12,oleales,oleanae,lamiidae,rosopsida,magnoliophytina,magnoliophyta,Oleaceae
